TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,P,C-,D,NC,F,W,INC/NA,AVG GPA,,
Spring 2021,CMLIT,215W,Topics in Modern Literature,01R,"YAMATO, L",28,0,15,1,4,1,0,0,3,0,1,1,0,0,2,0,3.407692308,,
Spring 2021,CMLIT,334W,Vt: Myth & Heroic Lit,1,"WINKS, C",28,2,5,0,1,3,0,3,3,0,1,0,0,3,7,0,3.05,,
Spring 2021,CO-OP,2011,Orientation to World of Work,2,"SADHOO, T",45,10,30,2,0,0,0,0,0,0,0,0,0,0,3,0,3.985714286,,
Spring 2021,CO-OP,2011,Orientation to World of Work,1,"MITCHELL, L",55,4,5,14,4,6,4,2,4,0,3,0,0,1,8,0,3.206521739,,
Spring 2021,CO-OP,2013,World Of Work,1,"CELESTIN, R",28,0,20,4,1,1,0,0,0,0,0,0,0,1,0,1,3.888461538,,
Spring 2021,CSCI,12,Intro Computers & Computation,21,"WAXMAN, J",110,3,29,15,7,12,7,2,3,0,1,2,1,2,26,0,3.363414634,,
Spring 2021,CSCI,12,Intro Computers & Computation,21A,"HUANG, X",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,,
Spring 2021,CSCI,12,Intro Computers & Computation,21B,"HUANG, X",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,32,"JAGDEO, M",135,24,22,14,17,14,5,6,1,0,2,6,0,11,11,2,3.356756757,,
Spring 2021,CSCI,48,Spreadsheet Programming,11,"FRIED, M",135,0,43,13,19,20,10,8,5,1,6,0,0,1,8,1,3.293548387,,
Spring 2021,CSCI,48,Spreadsheet Programming,45,"GREENBERG, A",45,1,10,0,9,7,3,3,4,0,2,0,0,3,3,0,3.105128205,,
Spring 2021,CSCI,48,Spreadsheet Programming,11A,"FRIED, M",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,11B,"FRIED, M",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,11C,"YANG, J",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,32A,"JAGDEO, M",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,32B,"JAGDEO, M",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,32C,"JAGDEO, M",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,48,Spreadsheet Programming,45A,"GREENBERG, A",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,90,Topics in Computing,31,"CONNOR, T",24,7,6,3,3,0,1,0,1,0,1,1,0,0,1,0,3.495652174,,
Spring 2021,CSCI,100,Information and Intelligence,21,"CASTRO, R",40,2,6,5,3,9,1,1,3,0,3,0,1,5,0,1,3.044117647,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,11,"RYBA, A",180,0,49,4,3,40,5,2,25,1,8,3,3,2,35,0,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,33,"GREENBERG, A",42,2,7,0,3,8,0,2,6,0,0,0,1,8,5,0,2.982758621,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12,"RYBA, A",132,2,24,2,1,48,2,0,20,1,10,2,0,2,17,1,2.910810811,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,11A,"ZHAO, Y",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,11C,"LANDAU, G",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,11E,"SCHLEY, R",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,11FY,"SCHLEY, R",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12A,"LANDAU, G",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12B,"GREENBERG, A",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12B,"LANDAU, G",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12D,"SCHLEY, R",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,12FY,"SCHLEY, R",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,111,Intro Algorithmic Problem Solv,33A,"GREENBERG, A",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,21,"WAXMAN, J",178,11,14,9,10,23,14,11,16,2,0,11,2,32,22,1,2.821487603,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,22,"WAXMAN, J",103,5,6,3,4,11,1,4,11,2,0,6,0,16,34,0,2.768627451,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,33,"ALAYEV, Y",45,0,2,1,2,2,1,1,4,0,0,5,0,6,21,0,2.35,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,21A,"TSE, C",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,21C,"CHEN, C",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,21D,"CHEN, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,21E,"LANDAU, G",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,22A,"TSE, C",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,22B,"CHEN, C",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,22B,"TSE, C",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,22C,"LANDAU, G",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,
Spring 2021,CSCI,211,Object-Oriented Program in C++,33A,"TSE, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,33,"TSE, C",45,3,1,2,5,6,2,3,3,0,1,1,0,7,9,2,2.922222222,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,22,"LORD, K",134,5,7,9,11,8,8,7,8,0,8,5,0,19,39,0,2.814473684,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,11,"LORD, K",135,7,15,11,14,5,15,5,16,0,8,13,0,9,17,0,2.756880734,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,11A,"FLUTURE, S",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,11B,"WANG, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,11E,"WANG, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,22B,"CHEN, C",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,22C,"CHEN, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,22F,"WANG, C",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,212,Object-Oriented Prog in Java,33A,"ZHAO, Y",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,,
Spring 2021,CSCI,220,Discrete Structures,32,"KONG, T",45,4,7,4,1,3,2,3,4,0,0,2,0,8,7,0,3.113333333,,
Spring 2021,CSCI,220,Discrete Structures,24,"WU, S",45,0,6,3,4,5,7,0,9,1,0,0,0,2,8,0,2.947058824,,
Spring 2021,CSCI,220,Discrete Structures,13,"WU, S",41,0,4,3,5,10,6,0,11,1,0,0,0,0,1,0,2.866666667,,
Spring 2021,CSCI,220,Discrete Structures,25,"CHYN, X",45,0,3,3,0,5,4,0,10,0,0,0,0,14,6,0,2.756,,
Spring 2021,CSCI,220,Discrete Structures,37,"WU, S",40,0,2,1,5,5,8,0,12,0,0,0,0,1,6,0,2.690909091,,
Spring 2021,CSCI,220,Discrete Structures,36,"CHYN, X",45,0,3,2,0,4,1,0,12,1,0,0,0,5,17,0,2.640909091,,
Spring 2021,CSCI,220,Discrete Structures,11,"CHYN, X",45,0,4,1,0,4,2,0,12,0,1,0,1,12,8,0,2.512,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,27,"LI, J",42,7,17,6,4,2,1,0,1,0,0,0,0,3,1,0,3.739473684,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,36,"YEH, J",42,0,13,4,6,6,3,2,0,0,1,0,0,1,5,1,3.4,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,31,"FRARY, N",42,1,6,4,1,3,7,3,3,0,0,3,0,1,10,0,2.9,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,33,"YEH, J",42,0,6,4,7,5,4,2,5,0,6,0,0,0,2,1,2.884615385,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,32,"FRARY, N",42,1,2,3,3,6,3,5,3,0,0,1,0,2,13,0,2.874074074,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,25,"FLUTURE, S",33,0,2,2,0,0,0,1,3,0,0,1,0,4,20,0,2.744444444,,
Spring 2021,CSCI,240,Computer Org & Assembly Lang,14,"FLUTURE, S",39,0,1,2,0,2,1,3,4,0,0,3,0,3,19,1,2.375,,
Spring 2021,CSCI,313,Data Structures,33,"CHEN, A",32,2,4,4,3,2,1,1,1,0,1,1,0,6,6,0,3.22,,
Spring 2021,CSCI,313,Data Structures,11,"WANG, C",35,11,1,2,3,1,3,2,2,0,0,3,0,4,3,0,3.142857143,,
Spring 2021,CSCI,313,Data Structures,38,"LI, Z",25,1,2,3,5,2,2,2,2,0,1,0,0,1,4,0,3.065,,
Spring 2021,CSCI,313,Data Structures,25,"FRIED, M",35,0,5,2,4,4,6,6,1,0,0,0,0,1,6,0,3.021428571,,
Spring 2021,CSCI,313,Data Structures,37,"YANG, K",31,1,1,0,2,6,2,2,2,0,4,0,0,4,7,0,2.67,,
Spring 2021,CSCI,313,Data Structures,26,"YANG, K",35,1,1,0,2,2,7,6,4,0,5,0,0,2,5,0,2.492857143,,
Spring 2021,CSCI,313,Data Structures,22,"CESARETTI, P",35,0,1,1,0,2,5,3,19,0,0,0,0,2,2,0,2.325806452,,
Spring 2021,CSCI,316,Principles of Programming Lang,21,"KONG, T",35,2,12,0,4,4,1,0,0,0,0,2,0,5,5,0,3.436,,
Spring 2021,CSCI,316,Principles of Programming Lang,22,"KONG, T",35,0,7,1,4,0,2,4,6,0,0,0,0,8,3,0,2.979166667,,
Spring 2021,CSCI,316,Principles of Programming Lang,33,"KONG, T",35,1,4,0,3,1,1,3,1,0,0,2,0,13,6,0,2.90625,,
Spring 2021,CSCI,316,Principles of Programming Lang,35,"YUKAWA, K",34,0,1,5,3,3,1,3,0,0,0,3,0,8,7,0,2.842105263,,
Spring 2021,CSCI,316,Principles of Programming Lang,36,"YUKAWA, K",35,0,0,0,4,3,3,4,3,0,2,0,0,7,9,0,2.573684211,,
Spring 2021,CSCI,316,Principles of Programming Lang,27,"SVITAK, J",33,0,1,1,0,1,2,4,6,0,2,1,0,6,9,0,2.316666667,,
Spring 2021,CSCI,316,Principles of Programming Lang,24,"SVITAK, J",35,0,0,1,1,4,1,4,4,0,2,8,0,5,5,0,2.012,,
Spring 2021,CSCI,320,Theory of Computation,11,"OBRENIC, B",91,22,16,2,9,19,4,4,2,0,0,1,0,4,8,0,3.43164557,,
Spring 2021,CSCI,320,Theory of Computation,12,"OBRENIC, B",91,14,13,5,11,17,8,2,5,0,0,1,1,3,11,0,3.25974026,,
Spring 2021,CSCI,320,Theory of Computation,33,"BOKLAN, K",104,0,1,1,0,1,3,0,4,0,0,0,2,19,71,2,2.233333333,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,32,"YUAN, C",37,1,8,11,2,6,4,1,3,0,1,0,0,0,0,0,3.3,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,33,"PHILLIPS, T",35,3,0,0,1,2,4,1,1,0,0,0,0,5,18,0,3.033333333,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,37,"GOSWAMI, M",39,2,3,0,3,4,0,1,6,0,0,1,0,4,15,0,2.86,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,11,"BROWN, T",35,1,5,2,3,4,8,2,6,0,0,2,0,1,1,0,2.833333333,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,34,"PHILLIPS, T",33,1,2,0,1,0,1,1,4,0,0,0,0,6,17,0,2.83,,
Spring 2021,CSCI,323,Design & Analysis Algorithms,35,"CESARETTI, P",35,0,0,2,3,8,13,2,4,0,1,0,0,0,2,0,2.748484848,,
Spring 2021,CSCI,331,Database Systems,11,"OBRENIC, B",68,3,7,2,4,13,5,6,9,0,0,0,0,7,12,0,2.957142857,,
Spring 2021,CSCI,331,Database Systems,14,"HELLER, P",37,1,2,3,1,9,2,4,4,0,0,0,0,0,11,0,2.923076923,,
Spring 2021,CSCI,331,Database Systems,36,"YANG, K",38,0,5,1,3,6,4,4,6,1,0,0,0,6,2,0,2.882758621,,
Spring 2021,CSCI,331,Database Systems,32,"LEAVITT, D",38,0,6,2,0,6,0,3,5,0,0,6,0,4,6,0,2.582142857,,
Spring 2021,CSCI,332,Object-Oriented Databases,37,"YUKAWA, K",34,0,0,7,4,5,4,1,1,0,0,0,1,4,7,0,3.008695652,,
Spring 2021,CSCI,334,Data Mining and Warehousing,14,"SY, B",27,0,0,5,3,1,1,1,1,0,2,0,0,3,10,0,2.985714286,,
Spring 2021,CSCI,335,Information Org and Retrieval,31,"GOLDBERG, R",36,0,3,10,7,6,3,1,1,0,0,0,0,3,2,0,3.306451613,,
Spring 2021,CSCI,340,Operating Systems Principles,22,"FLUTURE, S",38,3,4,1,0,3,2,5,4,0,0,1,1,4,10,0,2.775,,
Spring 2021,CSCI,340,Operating Systems Principles,33,"SVADLENKA, J",33,0,2,1,3,2,1,2,7,0,0,1,0,7,7,0,2.626315789,,
Spring 2021,CSCI,340,Operating Systems Principles,14,"FLUTURE, S",38,0,1,0,4,1,6,3,5,0,0,1,0,2,15,0,2.585714286,,
Spring 2021,CSCI,340,Operating Systems Principles,21,"SVITAK, J",38,0,2,3,2,7,4,6,7,0,1,3,0,1,2,0,2.571428571,,
Spring 2021,CSCI,340,Operating Systems Principles,26,"SVADLENKA, J",36,0,3,0,0,1,2,4,2,0,1,2,0,5,16,0,2.486666667,,
Spring 2021,CSCI,340,Operating Systems Principles,27,"SVITAK, J",38,0,0,2,2,6,5,4,9,0,2,4,0,0,4,0,2.355882353,,
Spring 2021,CSCI,340,Operating Systems Principles,25,"SVADLENKA, J",38,0,2,1,0,3,1,3,2,0,2,5,0,9,10,0,2.247368421,,
Spring 2021,CSCI,343,Computer Architecture,13,"RAHMAN, M",39,3,6,1,7,6,3,1,3,0,0,2,0,5,2,0,3.1,,
Spring 2021,CSCI,343,Computer Architecture,15,"RAHMAN, M",39,6,6,4,2,1,4,4,6,0,0,3,0,0,3,0,2.983333333,,
Spring 2021,CSCI,343,Computer Architecture,12,"SMITH-THOMPSON, A",40,0,4,5,2,4,5,1,4,0,3,0,0,2,10,0,2.928571429,,
Spring 2021,CSCI,343,Computer Architecture,37,"UPADHYAY, V",39,1,1,0,1,3,0,5,6,0,0,0,0,3,19,0,2.576470588,,
Spring 2021,CSCI,343,Computer Architecture,14,"SMITH-THOMPSON, A",40,0,2,2,3,3,5,3,6,0,1,3,0,3,8,1,2.55,,
Spring 2021,CSCI,343,Computer Architecture,26,"SMITH-THOMPSON, A",40,1,0,0,2,4,6,7,4,0,1,3,0,4,7,1,2.414285714,,
Spring 2021,CSCI,343,Computer Architecture,31,"SVITAK, J",40,0,0,1,2,5,9,2,6,0,1,6,0,3,5,0,2.309375,,
Spring 2021,CSCI,344,Distributed Systems,20,"FLUTURE, S",25,0,0,1,1,1,1,1,1,0,0,2,0,0,17,0,2.375,,
Spring 2021,CSCI,355,Internet and Web Technologies,54,"ABRAMOV, M",36,3,12,7,5,1,0,0,2,0,0,0,0,5,1,0,3.646666667,,
Spring 2021,CSCI,355,Internet and Web Technologies,37,"LAW, R",36,2,4,0,0,0,2,1,0,0,0,0,0,9,18,0,3.522222222,,
Spring 2021,CSCI,355,Internet and Web Technologies,31,"LAW, R",36,2,4,3,2,0,1,1,1,0,0,0,0,9,13,0,3.478571429,,
Spring 2021,CSCI,355,Internet and Web Technologies,33,"LAW, R",34,2,2,2,1,0,0,2,0,0,0,0,0,12,13,0,3.477777778,,
Spring 2021,CSCI,355,Internet and Web Technologies,32,"LAW, R",36,1,3,2,6,0,0,0,1,0,0,0,0,10,13,0,3.476923077,,
Spring 2021,CSCI,355,Internet and Web Technologies,36,"LAW, R",35,2,5,1,2,0,0,1,2,0,0,0,0,9,13,0,3.430769231,,
Spring 2021,CSCI,355,Internet and Web Technologies,35,"UPADHYAY, V",36,0,1,0,0,3,4,2,13,0,0,0,0,11,2,0,2.365217391,,
Spring 2021,CSCI,363,Artificial Intelligence,32,"YUAN, C",34,0,11,3,3,1,2,1,1,0,1,3,0,0,8,0,3.169230769,,
Spring 2021,CSCI,365,Computational Finance,34,"PANG, C",35,1,5,3,5,6,3,1,6,0,0,0,0,1,4,0,3.066666667,,
Spring 2021,CSCI,370,Software Engineering,11,"GOLDBERG, R",34,0,5,4,8,5,3,2,2,0,0,0,0,2,3,0,3.203448276,,
Spring 2021,CSCI,370,Software Engineering,16,"SY, B",17,0,0,0,1,4,1,0,0,0,0,0,0,0,11,0,3,,
Spring 2021,CSCI,370,Software Engineering,27,"SVADLENKA, J",32,0,0,3,4,4,3,3,2,0,1,1,0,4,7,0,2.761904762,,
Spring 2021,CSCI,370,Software Engineering,33,"ABREU, A",35,0,2,1,3,7,3,7,4,0,0,2,0,1,5,0,2.648275862,,
Spring 2021,CSCI,370,Software Engineering,22,"SVADLENKA, J",32,2,1,0,2,1,1,6,4,0,1,2,0,5,7,0,2.49,,
Spring 2021,CSCI,370,Software Engineering,34,"ABREU, A",35,0,2,5,3,1,6,2,4,0,0,8,0,3,1,0,2.458064516,,
Spring 2021,CSCI,370,Software Engineering,55,"ABREU, A",35,0,1,2,2,6,3,4,7,0,0,5,0,0,5,0,2.41,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,51,"WAXMAN, J",33,2,8,3,2,6,3,2,0,0,0,1,0,1,5,0,3.311111111,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,22,"LI, J",35,3,2,4,8,8,4,0,2,0,0,0,0,1,3,0,3.225806452,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,13,"GOLDBERG, R",35,0,5,5,3,7,6,2,2,0,0,0,0,1,4,0,3.14,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,25,"PHILLIPS, T",23,2,2,0,0,2,2,0,2,0,0,0,0,2,11,0,3.14,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,33,"PANG, C",33,0,3,8,5,5,2,2,7,0,0,0,0,1,0,0,3.034375,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,23,"SY, B",28,0,0,4,2,2,3,3,0,0,0,0,0,1,12,1,3.028571429,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,21,"ROZOVSKAYA, A",36,3,2,3,2,7,4,3,3,0,2,0,0,0,7,0,2.95862069,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,36,"GOSWAMI, M",30,1,2,2,3,8,1,0,6,0,0,1,0,0,6,0,2.875,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,34,"TSAI, C",22,1,0,0,0,6,2,2,4,0,0,0,0,1,6,0,2.666666667,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,12,"BROWN, T",37,1,3,1,0,9,5,3,12,0,1,0,0,1,1,0,2.651428571,,
Spring 2021,CSCI,381,VT: Special Topics in Comp Sci,15,"TSAI, C",23,0,0,0,1,2,0,2,3,0,0,1,0,1,13,0,2.322222222,,
Spring 2021,DANCE,150,Introduction to Dance,3,"WEBB, C",30,11,13,3,0,2,0,0,0,0,0,0,0,0,1,0,3.9,,
Spring 2021,DANCE,150,Introduction to Dance,2,"WEBB, C",30,12,12,1,2,2,0,0,0,0,0,0,0,0,1,0,3.872413793,,
Spring 2021,DANCE,150,Introduction to Dance,1,"FITTANTE, C",27,6,12,4,0,0,2,0,0,0,1,0,0,0,2,0,3.756,,
Spring 2021,DANCE,150,Introduction to Dance,4,"LOVE, L",20,2,6,1,0,4,0,0,1,0,0,0,0,2,4,0,3.55,,
Spring 2021,DANCE,160,Modern Dance I,1,"HUI, G",17,6,5,4,0,0,0,0,0,0,0,0,0,0,2,0,3.92,,
Spring 2021,DANCE,161,Ballet I,1,"FITTANTE, C",20,0,17,0,0,1,1,0,0,0,0,0,0,0,0,1,3.878947368,,
Spring 2021,DANCE,162,Dance Techniques of Africa I,1,"LOVE, L",13,6,3,2,0,0,0,0,0,0,1,0,0,0,1,0,3.758333333,,
Spring 2021,DANCE,164,Asian Performing Arts,1,"CRITCHELL, Y",16,0,6,0,0,0,3,0,1,0,0,0,0,0,5,1,3.41,,
Spring 2021,DANCE,168,Tap I,1,"DAVIS, M",10,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,3.8,,
Spring 2021,DANCE,396,Spec Topics Dance & Mvmnt,1,"CRITCHELL, Y",29,0,5,7,1,9,2,0,1,0,0,0,0,0,2,2,3.344,,
Spring 2021,DANCE,351W,Time & Dance Image In U.S. II,1,"RUSSO, D",20,5,5,3,2,1,0,1,0,0,1,0,0,0,2,0,3.594444444,,
Spring 2021,DATA,205,Introductory Analytics,10,"GONZALEZ, A",25,0,4,4,4,2,1,3,1,0,0,1,0,1,4,0,3.13,,
Spring 2021,DATA,205,Introductory Analytics,4,"ALEXIOU, N",26,0,5,3,2,1,10,4,0,0,0,0,0,0,1,0,3.076,,
Spring 2021,DATA,205,Introductory Analytics,1,"WEINBERG, D",142,11,14,10,13,19,6,8,16,0,4,5,0,12,22,2,2.974528302,,
Spring 2021,DATA,205,Introductory Analytics,10A,"GONZALEZ, A",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,205,Introductory Analytics,1A,"HE GU, A",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,DATA,205,Introductory Analytics,1A,"WEINBERG, D",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,DATA,205,Introductory Analytics,1B,"WEINBERG, D",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,205,Introductory Analytics,1B,"ZEHRA, S",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,205,Introductory Analytics,1C,"ELMANASIR, W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,205,Introductory Analytics,1C,"WEINBERG, D",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,205,Introductory Analytics,1D,"HE GU, A",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,DATA,205,Introductory Analytics,1D,"WEINBERG, D",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,DATA,205,Introductory Analytics,1E,"WEINBERG, D",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,DATA,205,Introductory Analytics,1E,"ZEHRA, S",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,DATA,205,Introductory Analytics,1F,"ELMANASIR, W",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,DATA,205,Introductory Analytics,1F,"WEINBERG, D",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,DATA,205,Introductory Analytics,4A,"ALEXIOU, N",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,,
Spring 2021,DATA,235,Data and Society,1,"VESSELINOV, E",25,5,4,1,3,0,1,1,1,0,0,0,0,0,9,0,3.5375,,
Spring 2021,DATA,235,Data and Society,4,"VESSELINOV, E",27,8,3,0,1,2,3,0,1,0,0,0,0,0,9,0,3.522222222,,
Spring 2021,DATA,235,Data and Society,2,"HEAP, P",23,2,5,3,3,2,1,0,1,0,1,0,0,0,4,1,3.411111111,,
Spring 2021,DATA,306,Data Analysis and Modeling,1,"XU, H",20,0,7,2,4,2,2,0,0,0,0,0,0,0,2,1,3.529411765,,
Spring 2021,DATA,333,"Data Mngt, Processing, & Vis",1,"TURNER, B",19,10,1,3,0,0,0,0,1,0,1,0,1,0,2,0,3.458823529,,
Spring 2021,DATA,334,Applied Research,3,"RHINDRESS, M",24,9,4,3,2,3,1,0,0,0,0,0,0,0,2,0,3.7,,
Spring 2021,DATA,334,Applied Research,1,"WALKER, A",27,5,5,7,2,3,3,2,0,0,0,0,0,0,0,0,3.488888889,,
Spring 2021,DATA,334,Applied Research,2,"KEEM, M",25,5,2,6,2,2,3,0,2,0,1,0,0,0,1,1,3.330434783,,
Spring 2021,DATA,334,Applied Research,5,"AMENT, J",25,1,6,2,2,6,2,1,1,0,1,2,0,1,0,0,3.058333333,,
Spring 2021,DATA,334,Applied Research,4,"PARVIN, M",23,1,1,6,3,1,1,1,0,0,1,3,0,4,1,0,2.933333333,,
Spring 2021,DATA,334,Applied Research,1A,"WALKER, A",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,,
Spring 2021,DATA,334,Applied Research,2A,"KEEM, M",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,334,Applied Research,3A,"RHINDRESS, M",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,DATA,334,Applied Research,4A,"PARVIN, M",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,,
Spring 2021,DATA,334,Applied Research,5A,"AMENT, J",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,
Spring 2021,DATA,710,Basic Analytics,1,"HSIN, A",12,0,2,5,3,0,1,0,0,0,0,0,0,0,1,0,3.554545455,,
Spring 2021,DATA,712,Advanced Analytics,1,"COHEN, J",16,0,5,8,0,2,1,0,0,0,0,0,0,0,0,0,3.64375,,
Spring 2021,DATA,716,Prof Writ&Comm Social Research,1,"HAEHLEN, G",10,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.97,,
